第一部	الْجُزْءُ الْأَوَّل
翻质相向；翻脸倒戈；翻脸不认人，反戈一击	قَلَبَ لَهُ ظَهْرَ الْمِجَنِّ (أو: أَدَارَ لَهُ ظَهْرَ الْمِجَنِّ)
凡古必遵；所有古老的都有尊严	لِكُلِّ قَدِيمٍ حُرْمَةٌ
凡事适中为好；凡事中庸为佳	خَيْرُ الْأُمُورِ أوْسَاطُهَا
凡事预则立，不预则废；无角羊头必败	عِنْدَ النِّطَاحِ يُغْلَبُ الْكَبْشُ الْأَجَمُّ
防患未然；桑土绸缪chóumóu；桑土之谋；剑未鞘（qiào，shāo）也可能得防一手	قَدْ يُتَّقَى السَّيْفُ وَهُوَ مُغْمَدُ
分崩离析；鼬鼠在他们中放臭屁；他们四分五裂；分道扬镳（biāo）	فَسَا بَيْنَهُمُ الظِّرِبَانُ (مِثْلُهُ: تفرقوا أيادي سبا)
分道扬镳（biāo）；分道而行；趣向不同；你在一山谷，我们在另外一山谷	أَنْتَ فِي وَادٍ وَنَحْنُ فِي وَادٍ
风驰电掣（chè），只一瞬间；仅仅一眨眼时间	أسْرَعُ مِنْ لَمْحِ البَصَرِ (مِثْلُهُ: كَلَمْحِ الْبَصَرِ أَو هُو أَقْرَبُ "قرآن كريم"، أَسْرَعُ مِنَ الْبَرْقِ أَو مِنَ الطَّرْفِ)
风驰电掣（chè）；风驰电骋（chěng）；比风去的更快	أَمْضَى مِنَ الرِّيحِ
风水轮流转	إِنَّ مَعَ الْيَوْمِ غَدًا يَا مُسْعِدة (قَوْلِهِم: الْأَيَّامُ حُبْلَى تَلِدُ كُلَّ جَدِيدٍ)
富者必骄（有钱人都夸耀）	كُلُّ ذَاتِ ذَيْلٍ تَخْتَالُ (مثله : إِنَّ الْغَنِيَّ طَوِيلُ الذَّيْلِ مَيَّاسُ)
盖世无双；独一无二；举世无双（的人事物）	ذَلِكَ أَحَدُ الْأَحَدَيْن، أو أحدٌ وحيدٌ
感恩戴德；有恩必报（比日光更感恩）	أَشْكَرُ مِنْ بَرْوَقَةٍ
干打雷，不下雨；只说不干，放空炮；只听磨声响；不见面下来	إِنَّمَا هُوَ كَبَرْقِ الْخُلَّبِ (مِثْلُهُ: أَرَى جَعْجَعَةً وَلَكِنْ لَا أَرَى طَحْنًا)
干渴无比；干渴至极（比沙子更渴）	أَعْطَشُ مِنْ رَمْلٍ (أو: أَظْمَأُ مِنْ رَمْلٍ، اسْتَبَدَّ بِهِ الظَّمَأ)
干渴至极；喝得要命；干渴无比；比漏洞更想喝水	أَعْطَشُ مِنْ قِمَعٍ
高不可攀（pān）;可望不可及；比狮子鼻子更难攻克	أَعزُّ مِنْ أَنْفِ الْأَسَدِ (أو: أَمْنَعُ مِنْ أَنْفِ الْأَسَدِ أو أَمْنَعُ مِنْ لَهَاةِ اللَّيْثِ)
高风亮节；高风峻节；如同克尔白，只受人参拜而从不拜访他人	كَالْكَعْبَةِ تُزارُ وَلَا تَزُورُ
胳膊总是往里弯	كُلُّ فَتَاةٍ بِأَبِيهَا مُعْجَبَة
隔壁有耳；说者无意，听者有心；一句话都有耳朵听	لِكُلِّ ساقِطَةٍ لَاقِطَةٌ
隔墙有耳	الْحِيطَانُ لَهَا آذَان
隔日访问，友爱倍增；距离产生美	زُرْ غِبًّا تَزْدَدْ حُبًّا (مِثْلُهُ: عَلَيْكَ بِأَغْبَابِ الزِّيَارَةِ إِنَّهَا ~ إِذَا كَثُرَتْ صَارَتْ لِلْهَجْرِ مَسْلَكًا)
各奔东西；分到扬镳（biāo）；四分五裂（他们如赛巴族四散了	ذَهَبُوا أَيْدِي سَبَا (أو: تَفَرَّقُو أَيَادِي سَبَا، مِثْلُهُ: فَسَا بَيْنَهُمُ الظِّرِبَانُ)
各病有其药；车到山前必有路	لِكُلِّ دَاءٍ دَواءُ
各得其所；每件衣服都有穿着者	لِكُلِّ ثَوْبٍ لَابِسُ
各有所爱；萝卜白菜各有所好	لَوْ قُلْتُ تَمْرَةً لَقَالَ جَمْرَةً
孤掌难鸣；孤家寡人；孤立无援；难鸣孤掌（一个巴掌拍不响）	يَدٌ وَاحِدَةٌ لَا تُصَفِّقُ
固若金汤；坚不可摧；坚如磐石；坚如泰山；可望不可及	أَحْمَى مِنْ أَنْفِ الْأَسَدِ
故态复萌；恶习复发，老毛病又犯了；（拉米斯“女人名”又恢复了她的原来样子）	عَادَتْ لِعِتْرَتِهَا لَمِيسُ (يُضْرَبُ لِمَنْ يَرْجِعُ إلَى عَادَةِ سُوءٍ تَرَكَها)
寡助者败，多助者胜	مَنْ قَلَّ ذَلَّ وَمَنْ أَمِرَ فَلَّ
光彩夺目；比日月更光辉灿烂	أَبْهَى مِنَ القَمَرَيْنِ
光打雷不下雨；光说不干	أَسْمَعُ جَعْجَعَةً وَلَا أَرَى طَحْنًا (يَضْرِبُ لِلرَّجُلِ يُكْثِرُ الْكَلَامَ وَلَا يَعْمَل)
光许诺不履行；只说不做；无所事事；他从空瓶中沾油擦	دَهَنَ مِنْ قَارُورَةٍ فَارِغَةٍ
果树由果籽产生；集腋成裘（qiú）；勿以善小而不为；千里之行始于足下；万丈高楼平地起	مِنَ الْحَبَّةِ تَنشَأُ الشَّجَرَة؛ وَمُعْظَمُ النَّارِ مِنْ مُّسْتَصْغَرِ الشَّرَرِ
寒冷无比；比冰雹还冷	أَبْرَدُ مِنْ عَبْقَرٍ
行善少作恶多	بَقَّلَ شَهْرٌ وَشَوَّكَ دَهْرٌ (بَقْلُ شَهْرٍ وشَوْكُ دَهْرٍ)
毫无二致；大同小异；异曲同工；非常相像，十分相似；	أَشْبَهُ بِهِ مِنَ التَّمْرَةِ بِالتَّمْرَةِ
毫无计策；不会想办法；某人呆傻吴某；	أيُّ فَتَىً قَتَلَهُ الدُّخَانُ
豪取智笼；巧取豪夺；我的驼既没有出售又没有赠送	إِبِلِي لَمْ أَبِعْ وَلَمْ أَهِبْ
红尘暂短；好景不长；白驹过隙；驷之过蠙（sì ~ pín）；尘世是一株绿草	إِنَّمَا الدُّنْيَا لُعَاعَةٌ
红颜祸水；妇女是魔鬼的罗网	إِنّ النِّسَاءَ حَبائِلُ الشَّيْطَانِ
坏人坏事掀（xiān）不起大浪；江里泥鳅（qiū）掀不起大浪	سَاقِيَةٌ لَا تُعَكِّرُ بَحْرًا (أو: جِيفَةٌ ...)
患难见知己；患难见真情	عِنْدَ الشَّدَائِدِ تُعْرَفُ الْإِخْوَانُ
荒诞不经	أَكْذَبُ مِنْ أُحْدُوثَةٍ أو مِن أَسِيرٍ
黄婆卖瓜，自卖自夸；腊里头儿子自己好	زُيِّنَ فِي عَيْنِ والِدٍ ولَدُهُ (مِثْلُهُ: الْقِرْدُ فِي عَيْنِ أُمِّهِ غَزَالٌ)
谎话连篇，满口胡言；某人说谎成性；比俘虏更能说谎	أَكْذَبُ مِنَ الْأَخِيذِ
昏昏噩噩；认奴作郞；傻头傻脑（比鳄蜥尾巴更易迷路）	أَضَلُّ مِنْ ضَبٍّ
活到老学到老；白首穷经；求学吧！从摇篮学到坟墓	اطْلُبُوا الْعِلْمَ مِنَ الْمَهْدِ إِلَى اللَّحْدِ (حَدِيثٌ)
获陇望蜀（shǔ）；贪心不足；不知纪极；贪得无厌；比阿士阿比更贪婪	أَطْمَعُ مِنْ أَشْعَبٍ (أو: أَطْمَعُ مِنْ طُفَيلٍ)
祸不及防；言多必失，喋喋不休者如同夜间砍柴人	الْمِكْثارُ كَحَاطِبِ لَيْلٍ
祸从口生；祸从口出	إِيَّاكَ أَنْ يَضْرِبْ لِسَانُكَ عُنُقَك
祸发齿牙；祸从口出	مَقْتَلُ الرَّجُلِ تَبَايَنَ فَكَّيْهِ (مثله: مَقْتَلُ الرَّجُلِ بَيْنَ فَكَّيْهِ)
机不可失，失不再来；夏天时你已失去了奶；某人要求他自己使自己失去的某事物	فِي الصَّيْفِ ضَيَّعَتِ اللبَنَ
机不可失，失不再来；要当机立断，要抓住机会；也许事情一拖延接着就会错失机会	رُبَّ رَيْثٍ يُعْقِبُ فَوْتًا
积谷防饥；白色钱币在黑色凶日会有用处	الْقِرْشُ الْأَبْيَضُ يَنْفَعُ فِي الْيَوْمِ الْأَسْوَدِ
积少成多；集腋成裘(qiú)	الذَّوْدُ إِلَى الذَّوْدِ إِبِلٌ (عَامِّيَّةٌ مِصْرِيَّة: قِرْشٌ عَلَى قِرْشٍ يَبْقَى جُنَيْه، أو: حَبَّةٌ عَلَى حَبَّةٍ تُصْبِحُ قُبَّة)
积习难改；少年积习，老年难除；从小养成某种习惯，到老也会坚持	مَنْ شَبَّ عَلَى خُلُقٍ شَابَ عَلَيْهِ (مِثْلُهُ: مَنْ شَبَّ عَلَى شَئٍ شَابَ عَلَيْهِ)
及时止损；当你起邪念时，你要放弃！	إِذَا نَزَلَ بِكَ الشرُّ فاقْعُد (أو: إِذَا نَزَا بِكَ الشُّرُّ فَاقْعُد)
急忙指责并不公正	ليْسَ مِنَ الْعَدْلِ سُرْعَةُ الْعَذْلِ
急中生智，人急计生	الْحَاجَةُ تَفْتِقُ الْحِيلَةَ (مِثْلُهُ :مَنْ أَجْدَبَ انْتَجَعَ أو الْحَاجَةُ أُمُّ الاِخْتِرَاعِ)
疾病流传快；比疥癣（Jiè xuǎn）传染得更快	أَعْدَى مِنَ الْجَرَبِ
藉草枕块；悲痛欲绝；痛不欲生；比翰撒偶（阿拉伯著名女诗）对其弟子萨哈尔更悲痛	أَشَدُّ حُزْنًا مِنَ الْخَنْسَاءِ عَلَى صَخْر
季布一诺；食言而肥；只说不做；总是违约；总是食言；他的约会如同欧尔古布的约会	مَوْعِدُهُ مَوَاعِيدُ عُرْقُوب (أو: كَانَتْ مَوَاعِيدُ عُرْقُوبٍ لَهَا مَثَلا ~ وَمَا مَوَاعِيدُهَا إِلَّا الْأَبَاطِيلُ)
家徒四壁；他既没有蛇又没有牛；一无所有；一贫如洗；不名一文	مَا لَهُ خَابِطٌ وَلَا نَاطِحٌ (مِثْلُهُ: مَا لَهُ ثَاغٍ وَلَا رَاغٍ؛ أو بَاتَ يَشْوِي الْقِرَاحَ؛ مَا لَهُ حَلْبٌ وَلا جَلْبٌ؛ مَا لَهُ سَبْدٌ وَلَا لَبْدٌ)
家徒四壁；一无所有；一贫如洗；不名一文；身无分文他没有母驼也没有公驼	مَا لَهُ حَلْبٌ وَلَا جَلْبٌ (أي: لَا نُوقٌ لَهُ وَلَا جِمَالٌ، أَوْ لَيْسَ لَهُ ظَهْرٌ يُرْكَبُ وَلَا ضَرْعٌ يُحْلَبُ، بَاتَ يَشْوِي الْقِرَاحَ، مَا لَهُ ثَاغٍ وَلَا رَاغٍ، مَا لَهُ سَبْدٌ وَلَا لَبْدٌ)
家喻户晓；遐迩闻名；名扬天下，尽人皆知；人人皆知；哈利玛站日并非秘密	مَا يَوْمُ حَلِيمَةَ بِسِرٍّ (مِثْلُهُ: وَهَلْ يَخْفَى الْقَمَرُ)
假如扯（chě）能解救人，则诚实更能	إِنْ كَذِبٌ نَجَّى فَصِدْقٌ أخْلَقُ
假如合不来，则分为好	إِنْ لَمْ يكُنْ وِفَاقٌ فَفِراقٌ (إِنْ لَمْ نَتَّفِق فَلْنَفْتِرِق)
假如你常说谎，你要有记性！	إِنْ كُنْتَ كَذُوبًا فَكُنْ ذَكُورًا
假使我有某过错而受责，我不会生气	لَوْ عُوتِبْتُ عَلى ذَنْبٍ مَا امْتَعَضْتُ (مِثْلُهُ: لَوْ كُوِيتُ عَلَى دَاءٍ لَمْ أَكْرَهِ)
假惺惺，假慈悲；鳄鱼的眼泪	دُمُوعُ التَّماسِيحِ
坚贞永存；坚定不移；安如磐石；安如泰山；比光阴更永存	أبْقَى مِنَ الدَّهْرِ
见雀张罗；比心愿更诱骗人	أَغَرُّ مِنَ الْأَمَانِي
见雀张罗；打马虎眼；招摇撞骗（比海市蜃楼更诱骗人）	أَغَرُّ مِنْ سَرَابٍ
健步如飞；比蝎子更害人；大步流星	أَعْدَى مِنَ الْعَقْربِ(أو: أَعْدَى مِنَ الْعَقِير)
健步如飞；大步流星；比素来克（或称善法拉，人名）还跑得快。	أَعْدَى مِنَ السُّلَيْكِ (أو: أَعْدَى مِنَ الشَّنْفَرَى، أي: أَسْرَعُ مِنْهُ)
江山易改，本性难移；狗总是狗，即便你给它套了金颈圈	الْكَلْبُ كَلْبٌ وَلَوْ طَوَّقْتَهُ ذَهَبًا
角立杰出，龟毛兔角绝对不可能；绝不会发生；绝无可能；敲冰求火	هَلْ يُرْتَجَى مَطَرٌ بِغَيْرِ سَحَابِ؟ (يُضْرَبُ لِمَا يَسْتَحِيلُ وُقُوعُه؛ مِثْلُهُ: لَا يَكُونُ كَذَا حَتَّى يَبِيضَ الدِّيكُ؛ حَتَّى يَلِجَ الْجَمَلُ فِي سَمِّ الْخِيَاطِ)
竭泽而渔；不要杀鸡取卵；某人只顾眼前不顾后患；勿饮鸠（jiū）止渴	لَا تَشْرَبِ السُّمَّ اتِّكالًا عَلَى التِّرْيَاقِ
戒骄戒躁；如临深谷；比狼更警惕（tì），更有戒心；鞍不离马背，甲不离将身	أَحْذَرُ مِنْ ذِئْبٍ
今日事今日毕	لَا تُؤَجِّلْ عَمَلَ الْيَوْمِ إِلَى الْغَدِ
今昔相似；同符合契；一而二，二而一；屯毛不辨；如出一辙；今夜与昨日多相似啊！	مَا أَشْبَهَ اللَّيْلَةَ بِالْبَارِحَةِ
金无赤足；人无完人；人人都有被指责的地方	كُلُّ امْرِئٍ فِيهِ مَا يُرْمَى بِهِ
金无足赤；人无完人；白璧微瑕；美女也不会没有瑕疵（xiácī）	لَا تَعْدَمُ الْحَسْنَاءُ ذَامًّا
谨言慎行；低心下意；兢兢战战；择地而蹈；小心谨慎；比乌鸦更警觉	أَحْذَرُ مِنْ غُرَابٍ
尽人皆知；众所周知；家喻户晓；比圆月更为人所知	أَشْهَرُ مِنَ الْبَدْرِ
近在眉睫；情况急迫，快到眼前了；迫在眉睫；比颈静脉还近	أَقْرَبُ مِنْ حَبْلِ الْوَرِيدِ(أو: أَدْنَى مِنْ حَبْلِ الْوَرِيدِ)
近在咫尺；近在眉睫；三头两日；明天对等待者来说近在眼前	إِنَّ غَدًا لِنَاظِرِهِ قَرِيبُ
经久不变；安如磐石；没世不渝；比黥（Qíng）青更牢固（或更不掉色）	أثْبَتُ مِنَ الْوَشْمِ
敬酒不吃，吃罚酒；软的不行来硬的	أَعْطِ أَخَاكَ تَمْرَةً فَإِنْ أَبَى فَجَمْرَةً
久经风霜；遇到风霜雨雪；我从中遇到了艰难困苦	لَقِيتُ مِنْهُ عَرَقَ الْقِرْبَةِ
举世闻名；鼎鼎有名；名公巨人；遐迩闻名；名扬四海；比太阳更为众人所知	أَشْهَرُ مِنَ الشَّمْسِ
举世无双，盖世无双，无匹敌，独一无二；唯一珍品，孤本（它是唯一的织物）	إِنَّهُ نَسِيجٌ وَحْدُهُ
聚沙成塔；积少成多；大雨始于涓（juān）滴；果树始于果核；大事都是从小事产生；告诫要重视小事；小事可成就大业；千里之行始于足下；集腋成裘(qiú)	أَوَّلُ الْغَيْثِ قَطْرَةٌ (مِثْلُهُ: أوَّلُ الشَّجَرَةِ النَّوَاةُ، أو النَّوَى أَوَّلُ الشَّجَرَةِ، وَنَظِيرُهُ: وَمُعْظَمُ النَّارِ مِنْ مُّسْتَصْغَرِ الشَّرَرِ، الذَّوْدُ إِلَى الذَّوْدِ إِبِلٌ)
决疣溃痈；比蛀虫更贪腐或更具破坏力	أَفْسَدُ مِنَ السُّوسِ
绝不会发生；绝无可能；龟毛兔角；敲冰求火	لَا يَكُونُ ذَلِكَ حتَّى يَبِيضُ الفَأْرُ (لا يَفْعَلُ كَذَا حَتَّى يَلِجَ الْجَمَلُ فِي سَمِّ الْخِيَاطِ، أو حَتَّى يَشِيبَ الْغُرَابُ)
绝望的事物；无所指望了；远离人们的凤凰带他飞走了	بِهِ عَنْقاءُ مُغْرِب
掘井及泉；要善始善终；靡mǐ不有初，鲜克有终；谁先谁后终点见分晓	عِندَ الْغَايَةِ يُعْرَفُ السَّبْقُ
